Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
G T L Infrastructure Ltd.,Telecommunication services,INE221H01019,GTLINFRA,31-12-2022,364.14,359.83,827.75,210.84,127.18,13.14,-463.61,-463.61,-463.61,-336.43,-125.59,-252.77,-0.36,1.2,,1.0,12669340753,1266.934075,-0.969127,30.7236545,17039,2462.114075,-19.34,1.397399,-0.01775097677186995
G T P L Hathway Ltd.,Media-broadcasting,INE869I01013,GTPL,31-12-2022,449.69,435.71,428.74,2.12,40.41,7.75,20.95,20.95,28.7,69.11,71.23,30.82,1.86,100.71,,124.05,112463038,1395.103986,8.979839,13.814279,203,1447.303986,18.65,1.141115,-0.31204317365713524
Gabriel India Ltd.,Other automobile ancillaries,INE524A01029,GABRIEL,31-12-2022,712.84,710.99,696.14,1.32,12.68,10.1,29.12,29.12,39.22,51.9,53.22,40.54,2.03,1061.55,,177.7,143643940,2552.552814,8.666568,20.504079,831,2367.802814,38.68,1.441482,-0.25847999501499275
Galaxy Surfactants Ltd.,Personal & home care products,INE600K01018,GALAXYSURF,31-12-2022,760.71,760.71,641.23,2.96,13.46,21.23,62.47,62.47,83.7,97.16,100.12,86.66,17.62,1989.5,,2332.95,35454752,8271.416368,55.91352,41.724255,223,8514.776368,60.31,0.806538,0.16766831650016678
Gallantt Ispat Ltd.,Steel,INE297H01019,GALLANTT,31-12-2022,1006.89,1006.24,936.14,7.66,25.4,32.25,20.91,20.91,53.16,78.56,86.22,60.82,0.87,522.85,,67.65,241280945,1632.265593,6.889479,9.81932,225,1905.105593,13.6,1.048378,-0.3195550430372759
Ganesh Housing Ltd.,Housing construction,INE460C01014,GANESHHOU,31-12-2022,18.14,17.62,42.45,1.59,0.69,0.61,6.81,6.81,7.42,8.11,9.7,9.01,0.82,807.0,,350.45,83387090,2922.300569,3.353037,104.517188,167,3015.500569,83.37,1.598941,-0.2017080929626154
Ganesha Ecosphere Ltd.,Man-made filaments & fibres,INE845D01014,GANECOS,31-12-2022,275.53,270.73,283.85,4.11,6.81,7.14,20.93,20.93,28.07,34.88,38.99,32.18,9.59,890.3,,903.7,21829397,1972.722607,34.1741,26.444003,278,2110.342607,65.07,1.389798,-0.2770221589770385
Garden Reach Shipbuilders & Engineers Ltd.,Other transport equipment & ancillaries,INE382Z01011,GRSE,31-12-2022,748.84,698.6,688.65,1.27,9.92,21.98,63.92,63.92,85.9,95.82,97.09,87.17,5.58,2298.3,,502.2,114552000,5752.80144,17.734304,28.317999,2999,2207.28144,22.75,0.927651,-0.21305884132194208
Garware Hi-Tech Films Ltd.,Plastic films & flexible packaging,INE291A01017,GRWRHITECH,31-12-2022,317.15,308.99,277.53,3.69,7.85,11.83,35.19,35.19,47.02,54.87,58.56,50.71,15.15,3355.1,,620.4,23232394,1441.337724,63.708458,9.73811,127,1408.247724,7.64,1.174754,-0.3348941152618447
Garware Technical Fibres Ltd.,Other textiles,INE276A01018,GARFIBRES,31-12-2022,257.34,249.55,236.44,2.81,5.56,9.44,30.08,30.08,39.52,45.08,47.89,42.33,14.59,689.2,,2916.45,20378169,5943.191098,78.250406,37.270733,443,5964.361098,34.41,0.776715,-0.1978037032812153
Gateway Distriparks Ltd.,Railway transport services,INE079J01017,GATEWAY,31-12-2022,339.14,336.04,286.22,9.98,24.99,3.25,52.92,52.92,56.17,81.16,91.14,66.15,1.06,59.63,,64.5,499643836,3222.702742,4.190985,15.390175,1133,3411.862742,29.72,0.533247,-0.010770853665170887
