Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
3M India Ltd.,"Plastic furniture, floorings & miscellaneous items",INE470A01017,3MINDIA,31-12-2022,943.41,932.22,818.55,0.56,13.88,38.46,112.77,112.77,151.23,165.11,165.67,151.79,100.11,34830.95,,23145.65,11265070,26073.736745,346.895314,66.722291,267,24891.636745,52.52,0.815759,-0.21696835575475118
A B B India Ltd.,"Generators, transformers & switchgears",INE117A01022,ABB,31-12-2022,2496.92,2426.91,2178.04,7.24,26.82,94.32,305.91,305.32,399.45,426.27,433.51,407.47,14.41,5175.8,,2826.55,211908375,59896.961736,29.890749,94.562703,1956,56780.971736,78.35,0.768015,-0.19481232573431395
A C C Ltd.,Cement,INE012A01025,ACC,31-12-2022,4577.66,4536.97,4348.65,18.83,171.56,39.04,110.45,110.45,149.49,321.05,339.88,247.42,5.88,1752.65,,1969.35,187787263,36981.884639,37.249065,52.869783,8437,30181.494639,48.83,0.976876,-0.2010629948632316
A D F Foods Ltd.,Processed foods,INE982B01027,ADFFOODS,31-12-2022,102.34,99.77,79.48,0.16,1.44,7.48,19.22,19.22,26.7,28.14,28.3,26.86,1.75,209.45,,763.05,21972719,1676.628323,23.524626,32.436222,372,1585.448323,67.56,1.414542,-0.13872794997574678
A G I Greenpac Ltd.,Glass & glassware,INE415A01038,AGI,31-12-2022,570.4,567.3,529.48,13.13,30.25,16.04,53.23,53.09,69.08,99.33,112.46,82.4,8.21,721.85,,326.05,64697381,2109.458108,24.643965,13.23042,1510,3226.098108,33.34,1.149549,-0.21582624876912887
A I A Engineering Ltd.,Castings & forgings,INE212H01026,AIAENG,31-12-2022,1178.83,997.11,781.2,5.21,23.95,89.69,355.13,355.13,444.82,468.77,473.98,450.03,37.65,3801.6,,2747.75,94320370,25916.879667,95.092926,28.89542,2817,24164.489667,31.58,0.613337,-0.2665632139865167
A P L Apollo Tubes Ltd.,Steel pipes & tubes,INE702C01027,APLAPOLLO,31-12-2022,3770.8,3761.18,3641.96,14.02,24.11,47.19,133.18,133.18,180.37,204.48,218.5,194.39,5.32,1820.65,,1147.15,277330814,31814.004328,22.73999,50.446372,1432,31865.704328,31.67,1.274783,-0.2615999515821926
A U Small Finance Bank Ltd.,Banking services,INE949L01017,AUBANK,31-12-2022,2412.96,2118.07,2020.13,965.34,13.67,130.24,392.83,392.83,523.07,523.07,1488.41,1488.41,5.9,985.15,,619.0,666604903,41262.843496,20.252026,30.564843,5624,41325.113496,18.44,1.36748,0.17737526706292647
A V T Natural Products Ltd.,Other agricultural products,INE488D01021,AVTNPL,31-12-2022,148.23,148.23,146.09,1.21,4.08,6.72,14.84,14.84,21.56,25.64,26.85,22.77,0.97,65.56,,98.15,152284000,1494.66746,5.046492,19.449154,320,1499.79746,20.22,1.511209,-0.2965763986089119
A W L Agri Business Ltd.,Vegetable oils & products,INE699H01024,AWL,31-12-2022,14789.9,14713.94,14057.58,237.25,80.57,103.43,277.07,277.07,380.5,461.07,698.32,617.99,2.13,244.6,,466.9,1299678605,60681.994067,5.605694,83.290318,7577,66644.854067,51.57,0.986907,-0.1258329722967099
Aarti Drugs Ltd.,Drugs & pharmaceuticals,INE767A01016,AARTIDRUGS,31-12-2022,626.5,625.53,566.12,9.12,11.87,12.25,36.71,36.71,48.96,60.83,69.95,58.08,3.96,381.9,,400.9,92600000,3712.334,16.483801,24.320846,1001,4229.474,39.53,1.053981,-0.19195911292555537
Aarti Industries Ltd.,Other chemical products,INE769A01020,AARTIIND,31-12-2022,1635.0,1635.0,1581.0,45.0,82.0,24.0,135.0,135.0,159.0,241.0,286.0,204.0,3.73,369.4,,539.05,362504035,19540.780007,-3.594443,30.7236545,3090,21954.650007,37.65,0.982292,-0.24540235502819857
Aarti Pharmalabs Ltd.,Drugs & pharmaceuticals,INE0LRU01027,AARTIPHARM,31-12-2022,359.37,359.33,330.1,5.12,14.56,11.25,38.54,38.54,49.79,64.35,69.47,58.04,4.25,747.25,,358.3,90626008,3247.129867,17.822698,20.103578,542,3574.319867,39.53,1.153431,-0.19195911292555537
Aavas Financiers Ltd.,Housing finance services,INE216P01012,AAVAS,31-12-2022,411.96,411.25,304.69,150.35,6.9,30.7,107.27,107.27,137.97,144.87,295.22,288.32,13.57,1459.55,,1809.5,79039378,14302.175449,53.007755,34.136514,1451,20796.725449,33.51,0.892812,-0.16633546810173813
Abans Financial Services Ltd.,Asset management services (mutual funds),INE00ZE01026,AFSL,31-12-2022,0.54,0.5,0.42,0.3,13.67,0.04,0.12,0.12,0.16,0.16,0.46,0.46,0.03,202.05,,243.35,50145950,1220.301693,0.067802,3589.122627,683,1229.581693,60.13,1.725103,-0.16490924722718592
Abbott India Ltd.,Drugs & pharmaceuticals,INE358A01014,ABBOTINDIA,31-12-2022,1366.42,1322.19,971.82,3.79,17.81,87.31,246.83,246.83,334.14,351.95,355.74,338.62,116.16,28039.3,,20842.4,21249302,44288.6452,437.12024,47.68116,175,41693.4952,39.53,0.40799,-0.19195911292555537
Accelya Solutions India Ltd.,Computer software,INE793A01012,ACCELYA,31-12-2022,100.76,98.8,77.46,0.55,8.15,7.59,23.3,23.3,30.89,39.04,39.59,31.44,15.61,1314.05,,1420.85,14926261,2120.797794,65.026332,21.850379,725,2106.847794,29.01,0.579041,-0.22129977102466347
Action Construction Equipment Ltd.,Mining & construction equipment,INE731H01025,ACE,31-12-2022,560.33,555.3,530.89,3.11,4.29,15.56,44.71,44.71,60.27,64.56,67.67,63.38,3.75,927.2,,332.95,119083196,3964.875011,12.132694,27.44238,2919,3848.285011,-52.26,1.927062,-0.23291766806118053
Acutaas Chemicals Ltd.,Drugs & pharmaceuticals,INE00FF01025,ACUTAAS,31-12-2022,155.38,152.36,176.02,1.19,3.06,7.28,22.28,22.28,29.56,32.62,33.81,30.75,6.12,1649.35,,892.95,36437062,3253.647451,21.258575,42.004227,110,3153.877451,39.53,0.833291,-0.19195911292555537
Adani Energy Solutions Ltd.,Diversified,INE931S01010,ADANIENSOL,31-12-2022,407.77,271.14,308.67,35.27,0.04,13.14,99.1,99.1,99.1,99.14,134.41,134.37,0.89,988.5,,1773.95,1115492683,197882.824501,1.077103,1646.964831,29854,206422.414501,116.56,1.398376,-0.18790891179554034
Adani Enterprises Ltd.,Wholesale trading,INE423A01024,ADANIENT,31-12-2022,12515.4,12142.15,10215.45,422.5,31.9,103.55,269.71,269.71,373.26,405.16,827.66,795.76,2.36,2239.05,,2975.0,1140001121,339150.333497,12.220251,243.448352,38147,343493.343497,116.56,1.883354,-0.23739051576619835
Adani Green Energy Ltd.,Wholesale trading,INE364U01010,ADANIGREEN,31-12-2022,1052.0,918.0,1665.0,257.0,3.0,-1.0,-127.0,-127.0,-128.0,-125.0,132.0,129.0,-0.9,1021.5,,1224.05,1584032478,193893.49547,-1.306791,30.7236545,46099,211062.49547,116.56,1.235574,-0.23739051576619835
Adani Ports & Special Economic Zone Ltd.,Shipping transport infrastructure services,INE742F01042,ADANIPORTS,31-12-2022,1817.25,1378.24,1805.85,1178.15,152.1,11.87,11.4,11.4,23.27,175.37,1353.52,1201.42,0.05,1496.0,,612.8,2160138945,132373.31455,-8.135356,30.7236545,28994,172618.19455,-95.73,1.203827,0.7050797938604265
Adani Power Ltd.,Conventional electricity,INE814H01029,ADANIPOWER,31-12-2022,8195.31,7635.49,7950.32,928.38,794.95,199.34,244.99,244.99,444.33,1239.28,2167.66,1372.71,3.42,141.7,,223.9,3856938941,86356.862889,26.22432,8.537876,9335,126518.972889,12.17,1.992288,-0.03716679162073462
Adani Total Gas Ltd.,Natural gas trading & distribution,INE399L01023,ATGL,31-12-2022,1113.76,1105.56,964.02,6.31,31.06,52.67,148.39,148.39,201.06,232.12,238.43,207.37,1.35,568.8,,2112.9,1099810083,232378.872437,4.514325,468.04341,2978,233342.712437,26.49,1.236776,0.12937326070838082
Aditya Birla Capital Ltd.,Other fund based financial services,INE674K01013,ABCAPITAL,31-12-2022,9.84,7.95,10.69,0.02,0.2,1.69,-0.85,-0.85,0.84,1.04,1.06,0.65,3.42,348.8,,141.05,2417197339,34094.568467,0.543357,259.590136,2448,34101.288467,33.67,1.576482,-0.23981065613779393
Aditya Birla Fashion & Retail Ltd.,Retail trading,INE647O01011,ABFRL,31-12-2022,3388.1,3358.86,3331.86,117.59,287.52,18.2,56.9,56.9,75.1,362.62,480.21,190.51,0.59,76.7,,256.6,948752198,24344.981401,5.096905,50.344276,1678,27522.411401,131.24,1.092099,-0.07458873961639617
Aditya Birla Real Estate Ltd.,Diversified,INE055A01016,ABREL,31-12-2022,1182.01,1168.2,1195.13,23.35,55.94,19.54,32.52,32.52,52.06,108.0,131.35,75.41,2.91,1739.65,,702.95,111695680,7851.647826,20.214748,34.774117,4945,8991.137826,15.79,1.576208,-0.18790891179554034
Aditya Birla Sun Life A M C Ltd.,Asset management services (mutual funds),INE404A01024,ABSLAMC,31-12-2022,357.63,308.74,192.63,0.93,8.37,56.4,165.0,165.0,221.4,229.77,230.7,222.33,5.73,760.95,,419.8,288000000,12090.24,21.365278,19.648703,689,12132.27,24.98,0.276696,-0.16490924722718592
Aditya Vision Ltd.,Retail trading,INE679V01027,AVL,31-12-2022,318.26,317.85,356.14,6.69,6.06,4.37,19.52,19.52,23.89,29.95,36.64,30.58,16.23,486.35,,1406.25,12028500,1691.507812,51.918361,27.085794,658,1944.487813,131.24,1.437227,-0.07458873961639617
Advanced Enzyme Technologies Ltd.,Other chemical products,INE837H01020,ADVENZYMES,31-12-2022,83.43,79.68,62.39,0.02,2.61,5.68,16.64,16.64,22.32,24.93,24.95,22.34,1.49,308.85,,280.55,111822075,3137.168314,4.552768,61.621849,1040,3104.098314,37.65,1.031594,-0.24540235502819857
Aegis Logistics Ltd.,Storage & distribution,INE208C01025,AEGISLOG,31-12-2022,901.98,876.59,754.64,3.09,4.31,21.68,86.71,86.71,108.39,112.7,115.79,111.48,2.47,735.85,,381.75,351000000,13399.425,21.437892,17.807255,3152,14064.715,19.79,0.974988,-0.14144513751477977
Aether Industries Ltd.,Organic chemicals,INE0BWX01014,AETHER,31-12-2022,170.53,167.13,164.64,0.44,6.4,8.83,35.04,35.04,43.87,50.27,50.71,44.31,2.81,837.85,,890.3,124510721,11085.189491,9.361443,95.102861,327,11343.399491,41.8,0.902227,-0.1787325857282407
Affle 3I Ltd.,Business services & consultancy,INE00WC01027,AFFLE,31-12-2022,144.15,137.27,122.67,0.01,2.01,7.25,21.48,21.48,28.73,30.74,30.75,28.74,1.61,1716.2,,1102.9,133251060,14696.259407,4.429984,248.962551,1197,14211.429407,60.13,1.428581,-0.22231802174705587
Ahluwalia Contracts (India) Ltd.,Industrial construction,INE758C01029,AHLUCONT,31-12-2022,750.09,743.25,705.09,7.03,11.09,15.17,45.0,45.0,60.17,71.26,78.29,67.2,6.72,975.35,,509.25,66987560,3411.341493,22.322055,22.81376,141,3012.971493,63.05,0.972871,-0.2658631511792221
Ajanta Pharma Ltd.,Drugs & pharmaceuticals,INE031B01049,AJANTPHARM,31-12-2022,905.4,874.89,827.59,39.67,32.29,30.99,123.96,123.96,154.95,187.24,226.91,194.62,9.67,2622.45,,1208.4,128125155,15482.64373,43.291265,27.913252,329,15250.02373,39.53,0.726874,-0.19195911292555537
Akzo Nobel India Ltd.,Paints & varnishes,INE133A01011,AKZOINDIA,31-12-2022,999.2,986.8,824.4,2.6,21.1,34.2,97.4,97.4,131.6,152.7,155.3,134.2,21.39,3145.8,,2246.25,45540314,10229.493032,59.591157,37.694351,155,9843.493032,65.91,0.600666,0.021625188158417272
Alembic Ltd.,Diversified,INE426A01027,ALEMBICLTD,31-12-2022,31.91,29.54,21.53,0.03,1.6,0.13,10.45,10.45,10.58,12.18,12.21,10.61,0.41,100.18,,68.75,256781828,1765.375067,2.956596,23.253096,394,-3008.164932,35.94,1.124228,-0.18790891179554034
Alembic Pharmaceuticals Ltd.,Drugs & pharmaceuticals,INE901L01018,APLLTD,31-12-2022,1310.79,1310.21,1175.34,14.65,65.85,25.18,119.13,119.13,144.31,210.16,224.81,158.96,6.06,858.7,,538.1,196563124,10577.061702,11.58203,46.459904,630,11263.211702,39.53,0.533247,-0.19195911292555537
Alicon Castalloy Ltd.,Aluminium & aluminium products,INE062D01024,ALICON,31-12-2022,331.7,331.02,325.11,7.96,15.59,1.88,14.43,14.43,16.31,31.9,39.86,24.27,8.95,833.7,,902.35,16111840,1453.851882,29.574524,30.511057,99,1687.781882,20.25,1.224541,-0.09103593093122561
Alivus Life Sciences Ltd.,Drugs & pharmaceuticals,INE03Q201024,ALIVUS,31-12-2022,547.34,540.73,446.84,0.16,10.76,36.15,104.99,104.99,141.14,151.9,152.06,141.3,8.57,900.25,,386.65,122527172,4737.513105,34.297698,11.273351,1149,4228.113105,39.53,1.394514,-0.19195911292555537
Alkem Laboratories Ltd.,Drugs & pharmaceuticals,INE540L01014,ALKEM,31-12-2022,2357.46,2296.72,2006.91,22.62,58.14,47.06,388.89,388.89,435.95,494.09,516.71,458.57,32.53,5561.5,,3009.75,119565000,35986.075875,78.641743,38.271659,463,36725.295875,39.53,0.44949,-0.19195911292555537
Alkyl Amines Chemicals Ltd.,Organic chemicals,INE150B01039,ALKYLAMINE,31-12-2022,392.87,388.4,355.46,0.74,10.65,16.94,45.7,45.7,62.64,73.29,74.03,63.38,8.94,1608.35,,2621.05,51100491,13393.694194,44.355738,59.091565,923,13354.414194,41.8,1.175701,-0.1787325857282407
Allcargo Gati Ltd. [Merged],Other fund based financial services,INE152B01027,ACLGATI,31-12-2022,64.11,63.0,64.33,0.08,0.1,13.14,-0.13,-0.13,-0.13,-0.03,0.05,-0.27,-0.01,66.08,,143.25,130130117,1864.113926,-0.391915,30.7236545,1297,1860.983926,131.24,1.085179,-0.23981065613779393
Allcargo Logistics Ltd.,Transport logistics services,INE418H01029,ALLCARGO,31-12-2022,531.76,523.21,492.73,5.34,4.09,-13.35,39.03,39.03,25.68,29.77,35.11,31.02,0.4,10.94,,419.05,245695524,10295.870933,7.204852,58.16219,1238,11021.290933,41.66,1.283408,-0.14794687699617792
Alok Industries Ltd.,Diversified cotton textile,INE270A01029,ALOKINDS,31-12-2022,1667.83,1664.99,1752.45,117.36,88.51,13.14,-241.43,-241.43,-241.43,-152.92,-35.56,-124.07,-0.49,16.03,,13.5,4965240401,6703.074541,-1.238389,30.7236545,1502,29675.834541,-13.35,1.308973,-0.12798722756809205
Amara Raja Energy & Mobility Ltd.,Storage batteries,INE885A01032,ARE&M,31-12-2022,2663.31,2637.24,2560.99,5.84,114.52,79.76,222.81,222.81,302.57,417.09,422.93,308.41,13.04,927.35,,567.25,170812500,9689.339062,37.934577,14.953376,1722,9737.359062,32.99,1.000231,-0.15468290320746192
Amber Enterprises India Ltd.,Air-conditioners & refrigerators,INE371P01015,AMBER,31-12-2022,921.55,912.29,1001.82,22.62,24.46,-1.57,-5.5,-5.5,-7.07,17.39,40.01,15.55,-1.63,6686.05,,1909.5,33693731,6433.817934,4.362829,437.674689,507,6560.797934,87.15,0.774152,-0.026038573553391477
Ambuja Cements Ltd.,Cement,INE079A01024,AMBUJACEM,31-12-2022,4204.37,4128.52,3672.21,25.25,164.83,94.71,368.99,368.99,463.7,628.53,653.78,550.3,1.86,539.7,,401.0,1985645229,79624.373683,9.890286,40.544832,28526,55549.253683,48.83,1.038038,-0.2010629948632316
Amrutanjan Health Care Ltd.,Drugs & pharmaceuticals,INE098F01031,AMRUTANJAN,31-12-2022,101.33,97.65,92.36,0.02,1.31,3.79,10.71,10.71,14.5,15.81,15.83,14.52,3.67,685.4,,720.5,29230630,2106.066892,12.979536,55.510461,87,2008.696892,39.53,1.094528,-0.19195911292555537
Anand Rathi Wealth Ltd.,Other fund based financial services,INE463V01026,ANANDRATHI,31-12-2022,134.59,132.99,91.69,1.13,3.08,15.01,42.9,42.9,57.91,60.99,62.12,59.04,10.3,3005.25,,832.6,41688247,3470.963445,38.178626,21.808014,462,3452.583445,33.67,0.771456,-0.23981065613779393
Anant Raj Ltd.,Housing construction,INE242C01024,ANANTRAJ,31-12-2022,205.85,191.71,173.74,4.39,3.68,11.75,32.11,32.11,43.86,47.54,51.93,48.25,0.99,551.2,,111.4,324096335,3610.433172,3.189792,34.923904,1330,4814.653172,83.37,1.486231,-0.2017080929626154
Andhra Paper Ltd.,Paper & newsprint,INE435A01051,ANDHRAPAP,31-12-2022,587.2,570.86,420.6,1.4,15.56,66.0,170.18,170.18,236.18,251.74,253.14,237.58,42.79,67.65,,452.4,39770039,1799.196564,104.100979,4.34578,3275,1807.316564,15.79,1.575364,-0.3489624638386909
Andhra Sugars Ltd.,Inorganic chemicals,INE715B01021,ANDHRSUGAR,31-12-2022,373.25,366.41,333.0,0.4,15.44,12.96,37.7,37.7,50.66,66.1,66.5,52.93,2.78,74.62,,130.45,135535390,1768.059163,16.073293,8.115947,218,1535.519163,7.56,1.086147,-0.17966830745747447
Andrew Yule & Co. Ltd.,Diversified manufacturing,INE449C01025,ANDREWYU,31-12-2022,128.71,119.98,100.22,2.76,1.44,5.65,4.68,4.63,10.23,11.67,14.43,13.09,0.09,22.97,,24.45,488950978,1195.485141,-1.91512,30.7236545,470,1251.785141,110.09,1.443374,-0.2730534186329821
Angel One Ltd.,Securities broking,INE732I01013,ANGELONE,31-12-2022,756.6,745.1,529.9,25.4,7.8,73.8,226.7,226.7,300.5,308.3,333.7,325.6,27.2,2517.35,,1228.5,83411746,10247.132996,98.193605,12.510998,4952,11068.312996,15.88,1.969744,-0.29710829834670943
Anupam Rasayan India Ltd.,Other chemical products,INE930P01018,ANURAS,31-12-2022,295.54,295.54,246.07,13.97,16.87,15.55,38.65,38.65,54.2,71.07,85.04,68.17,3.77,1334.45,,591.95,107399046,6357.486528,15.139799,39.098933,338,6835.416528,37.65,1.126776,-0.24540235502819857
Apar Industries Ltd.,Wires & cables,INE372A01015,APARINDS,31-12-2022,3631.97,3623.78,3491.53,89.49,22.98,54.33,157.86,157.86,212.19,235.17,324.66,303.51,41.25,8766.75,,1689.45,38268619,6465.291837,115.261541,14.657534,10667,6483.221837,29.86,0.774599,-0.19300179388073796
Apcotex Industries Ltd.,Synthetic rubber,INE116A01032,APCOTEXIND,31-12-2022,235.93,234.13,217.41,1.13,3.74,7.26,20.37,20.37,27.63,31.37,32.5,28.76,3.93,373.65,,417.2,51844960,2162.971731,22.056146,18.915363,810,2209.651731,18.91,1.028928,-0.30806208847895067
Apollo Hospitals Enterprise Ltd.,Health services,INE437A01024,APOLLOHOSP,31-12-2022,1694.05,1638.74,1448.46,60.21,88.86,77.53,245.59,245.59,323.12,411.98,472.19,383.33,17.08,7014.35,,4255.55,143784657,61188.27971,64.399083,66.08091,3628,63464.57971,69.86,0.586832,-0.1320225855676107
Apollo Pipes Ltd.,"Plastic furniture, floorings & miscellaneous items",INE126J01016,APOLLOPIPE,31-12-2022,236.7,236.68,254.51,2.07,7.42,1.75,4.86,4.86,6.61,14.03,16.1,8.68,1.24,306.65,,508.15,39328206,1998.462788,5.985526,84.896465,411,1995.382788,52.52,1.219803,-0.21696835575475118
Apollo Tyres Ltd.,Tyres & tubes,INE438A01022,APOLLOTYRE,31-12-2022,4256.52,4246.62,4083.37,122.57,226.87,84.54,124.25,124.25,208.79,435.66,558.23,331.36,1.96,507.35,,321.3,635100946,20405.793395,5.361195,59.930669,2382,24367.443395,47.38,1.663396,-0.16493441179989252
Aptech Ltd.,Education,INE266F01018,APTECHT,31-12-2022,65.03,62.41,55.43,6.715,0.9,3.71,9.45,9.45,13.16,14.06,14.06,13.16,1.63,94.95,,352.75,41397201,1460.286265,8.821852,39.985933,1558,1422.846265,-41.22,1.394514,-0.2576983555306801
Aptus Value Housing Finance India Ltd.,Housing finance services,INE852O01025,APTUS,31-12-2022,252.75,245.08,146.38,68.71,1.74,36.0,106.37,106.37,142.37,144.11,212.82,211.08,2.14,283.4,,277.7,497992751,13829.258695,8.221405,33.777682,782,15750.378695,33.51,1.669547,-0.16633546810173813
Archean Chemical Inds. Ltd.,Minerals,INE128X01021,ACI,31-12-2022,372.58,364.92,289.77,19.42,16.78,33.17,98.28,98.28,131.45,148.23,167.65,150.87,8.77,511.75,,650.5,123052989,8004.596934,23.759683,27.378312,1866,8856.196934,35.94,0.831544,-0.19527960896831384
Arman Financial Services Ltd.,Other fund based financial services,INE109C01017,ARMANFIN,31-12-2022,24.68,23.69,17.99,9.39,0.03,2.06,6.69,6.69,8.75,8.78,18.17,17.94,7.88,1481.4,,1530.85,8492334,1300.04895,33.088666,46.265087,57,1446.27895,33.67,1.186713,-0.23981065613779393
Arvind Fashions Ltd.,Retail trading,INE955V01021,ARVINDFASN,31-12-2022,184.55,181.22,183.57,4.44,4.22,0.06,1.34,1.34,1.4,5.62,10.06,5.84,0.1,512.95,,319.8,132811166,4247.301089,0.745419,429.020312,2603,4336.871089,131.24,1.442886,-0.07458873961639617
Arvind Ltd.,Cloth,INE034A01011,ARVIND,31-12-2022,1864.56,1846.3,1737.71,40.2,51.86,3.43,81.33,81.33,84.76,136.62,176.82,130.95,3.12,319.85,,84.6,260897474,2207.19263,11.153807,7.584854,1384,3948.63263,18.37,1.666917,-0.32408738057560427
Arvind Smartspaces Ltd.,Housing construction,INE034S01021,ARVSMART,31-12-2022,39.85,29.33,24.95,1.95,0.29,2.15,10.99,10.99,13.14,13.43,15.38,15.09,2.43,600.8,,295.4,45311979,1338.51586,9.119001,32.393898,555,1200.37586,83.37,1.209554,-0.2017080929626154
Asahi India Glass Ltd.,Glass & glassware,INE439A01020,ASAHIINDIA,31-12-2022,991.56,987.02,949.26,26.04,38.04,48.08,85.66,85.66,133.74,171.78,197.82,159.78,3.52,1006.4,,510.1,243089931,12400.01738,17.270152,29.536509,2024,13498.52738,33.34,1.244434,-0.21582624876912887
Ashiana Housing Ltd.,Housing construction,INE365D01021,ASHIANA,31-12-2022,118.83,111.91,150.61,0.79,1.97,2.82,8.34,8.34,11.16,13.13,13.92,11.95,0.83,295.2,,142.55,102352099,1459.029171,3.007266,47.401857,62,1531.689171,83.37,0.991119,-0.2017080929626154
Ashok Leyland Ltd.,Commercial vehicles,INE208A01029,ASHOKLEY,31-12-2022,9069.71,9029.67,9318.38,80.4,188.95,205.18,361.34,361.34,566.52,755.47,835.87,638.47,1.23,173.7,,149.9,2936127276,44012.547867,5.812997,25.787041,4048,46019.467867,121.56,1.694874,0.05533662095510988
Ashoka Buildcon Ltd.,Infrastructural construction,INE442H01029,ASHOKA,31-12-2022,1589.95,1559.06,1523.23,38.71,19.86,22.18,66.72,66.72,88.9,108.76,147.47,127.61,2.38,172.65,,82.95,280723217,2328.599085,5.387157,15.397732,1183,2842.469085,-7779.86,1.723809,-0.2879215797575277
Asian Paints Ltd.,Paints & varnishes,INE021A01026,ASIANPAINT,31-12-2022,7683.89,7521.82,6133.53,24.74,189.11,357.1,1085.88,1085.88,1442.98,1632.09,1656.83,1467.72,11.32,2798.9,,2726.6,959197790,261534.869421,39.699216,68.681458,16304,258149.279421,65.91,0.664277,0.021625188158417272
Asian Star Co. Ltd.,Gems & jewellery,INE194D01017,,31-12-2022,712.09,712.09,695.29,5.66,2.68,4.89,11.61,11.61,16.5,19.18,24.84,22.16,7.25,632.45,,736.7,16006800,1179.220956,36.322063,20.282438,42,1727.450956,72.03,0.136457,-0.24549709367323447
Astec Lifesciences Ltd.,Other chemical products,INE563J01010,ASTEC,31-12-2022,122.55,117.18,163.02,5.88,8.81,1.97,0.83,0.83,2.8,11.61,17.49,7.09,0.42,718.5,,1378.95,19605660,2703.522486,35.545858,38.79355,1940,2982.572486,37.65,0.688858,-0.24540235502819857
Aster D M Healthcare Ltd.,Other fund based financial services,INE914M01019,ASTERDM,31-12-2022,409.33,398.64,379.0,14.18,25.71,0.0,34.58,34.58,34.58,60.29,74.47,55.62,0.7,598.55,,212.9,499513060,10634.633047,3.77848,56.345412,355,11510.113047,69.86,0.938039,-0.23981065613779393
Astra Microwave Products Ltd.,Other electronics,INE386C01029,ASTRAMICRO,31-12-2022,220.43,218.87,191.44,7.84,5.93,10.29,30.27,30.27,40.56,46.49,54.33,48.6,3.5,908.3,,271.3,86611675,2349.774743,9.281659,29.22969,1442,2329.834743,48.08,1.39947,-0.11779069539848289
Astral Ltd.,"Plastic tubes, pipes, fittings & sheets",INE006I01046,ASTRAL,31-12-2022,1144.7,1141.4,1023.4,7.7,34.9,35.1,101.4,101.4,136.5,171.4,179.1,144.2,3.77,1423.75,,2053.6,201458679,41371.554319,20.65436,99.426951,4758,40952.654319,90.01,0.768491,-0.09096151730246531
Astrazeneca Pharma India Ltd.,Wholesale trading,INE203A01020,ASTRAZEN,31-12-2022,257.01,249.81,237.39,0.2,4.13,10.16,29.3,29.3,39.46,43.59,43.79,39.66,11.72,9062.25,,3355.35,25000000,8388.375,42.872,78.264368,248,7948.545,116.56,0.529204,-0.23739051576619835
Atul Ltd.,Other chemical products,INE100A01010,ATUL,31-12-2022,1239.39,1194.47,1089.44,0.42,41.31,46.08,136.87,136.87,182.95,224.26,224.68,183.37,46.36,6004.45,,7129.25,29513755,21041.093783,204.965447,34.782692,801,20333.383783,37.65,0.698797,-0.24540235502819857
Aurobindo Pharma Ltd.,Drugs & pharmaceuticals,INE406A01037,AUROPHARMA,31-12-2022,3510.99,3432.26,3336.03,38.96,108.5,105.67,298.82,298.82,404.49,512.99,551.95,443.45,5.1,1224.75,,408.3,585938609,23923.873405,25.032315,16.310916,4011,25767.973405,39.53,1.046022,-0.19195911292555537
Authum Investment & Infrastructure Ltd.,Other fund based financial services,INE206F01022,AIIL,31-12-2022,93.4,92.59,30.11,11.17,0.33,12.88,63.29,63.29,76.17,76.5,87.67,87.34,3.73,2904.05,,190.7,169845100,3238.946057,30.544891,6.24327,407,3568.076057,33.67,0.427261,-0.23981065613779393
Automotive Axles Ltd.,Other automobile ancillaries,INE449A01011,AUTOAXLES,31-12-2022,657.13,655.78,609.72,0.81,10.37,17.26,50.68,50.68,67.94,78.31,79.12,68.75,33.54,1863.1,,2545.35,15111975,3846.526557,99.2855,25.636674,2313,3789.466557,38.68,1.556079,-0.25847999501499275
Avanti Feeds Ltd.,Vegetable oils & products,INE871C01038,AVANTIFEED,31-12-2022,877.86,857.61,809.3,0.17,5.72,18.45,51.82,51.82,70.27,75.99,76.16,70.44,3.8,853.9,,385.65,136245630,5254.312721,16.520163,23.344201,744,4387.022721,51.57,1.360587,-0.1258329722967099
Avenue Supermarts Ltd.,Retail trading,INE192R01011,DMART,31-12-2022,11345.09,11304.58,10130.36,12.03,141.75,220.11,641.07,641.07,861.18,1002.93,1014.96,873.21,9.9,3820.3,,3504.3,647774691,226999.684967,36.925185,94.902708,2509,226097.174967,131.24,0.984474,-0.07458873961639617
Axis Bank Ltd.,Banking services,INE238A01034,AXISBANK,31-12-2022,26891.87,22226.43,21038.8,10767.11,13.67,1986.69,5853.07,5853.07,7839.76,7839.76,18606.87,18606.87,19.04,1230.55,,871.65,3075672100,268090.958596,55.2793,15.768109,3841,342237.688596,18.44,1.53831,0.17737526706292647
Axiscades Technologies Ltd.,Business services & consultancy,INE555B01013,AXISCADES,31-12-2022,130.3,75.8,99.01,10.81,2.61,2.38,31.29,31.29,33.67,36.28,47.09,13.25,8.22,1309.4,,316.3,38199310,1208.244175,6.062937,52.169438,235,1252.454175,60.13,1.655835,-0.22231802174705587
